title,year,imdb_id,tmdb_id,rt_url,digital_date,has_providers
Abandoned Man,2025,,,https://www.rottentomatoes.com/search?search=Abandoned%20Man%202025,2025-08-22,True
One Hit Wonder,2025,,,https://www.rottentomatoes.com/search?search=One%20Hit%20Wonder%202025,2025-08-21,True
The Serial Killer's Apprentice,2025,,,https://www.rottentomatoes.com/search?search=The%20Serial%20Killer%27s%20Apprentice%202025,2025-08-17,True
Khaki Fever,2025,,,https://www.rottentomatoes.com/search?search=Khaki%20Fever%202025,2025-09-05,True
The Truth About Jussie Smollett?,2025,,,https://www.rottentomatoes.com/search?search=The%20Truth%20About%20Jussie%20Smollett%3F%202025,2025-08-21,True
Nächte vor Hochzeiten,2025,,,https://www.rottentomatoes.com/search?search=N%C3%A4chte%20vor%20Hochzeiten%202025,2025-08-07,True
Strange Stories of Five Lives River,2025,,,https://www.rottentomatoes.com/search?search=Strange%20Stories%20of%20Five%20Lives%20River%202025,2025-08-07,True
For My Country,2025,,,https://www.rottentomatoes.com/search?search=For%20My%20Country%202025,2025-08-01,True
The Polo Bear Chronicles: Operation Black Tie,2025,,,https://www.rottentomatoes.com/search?search=The%20Polo%20Bear%20Chronicles%3A%20Operation%20Black%20Tie%202025,2025-08-14,True
Day of a Lion,2025,,,https://www.rottentomatoes.com/search?search=Day%20of%20a%20Lion%202025,2025-08-15,True
Sa Gabing Mainit,2025,,,https://www.rottentomatoes.com/search?search=Sa%20Gabing%20Mainit%202025,2025-08-29,True
Salakaar,2025,,,https://www.rottentomatoes.com/search?search=Salakaar%202025,2025-08-15,True
Good News,2025,,,https://www.rottentomatoes.com/search?search=Good%20News%202025,2025-10-16,True
McWalter,2025,,,https://www.rottentomatoes.com/search?search=McWalter%202025,2025-09-12,True
Cztery Pory Roku,2025,,,https://www.rottentomatoes.com/search?search=Cztery%20Pory%20Roku%202025,2025-08-18,True
The death of the Conducător (a Christmas film),2025,,,https://www.rottentomatoes.com/search?search=The%20death%20of%20the%20Conduc%C4%83tor%20%28a%20Christmas%20film%29%202025,2025-08-12,True
Life Is,2025,,,https://www.rottentomatoes.com/search?search=Life%20Is%202025,2025-08-05,True
"Yours, C Tour Documentary",2025,,,https://www.rottentomatoes.com/search?search=Yours%2C%20C%20Tour%20Documentary%202025,2025-08-04,True
Songs of Paradise,2025,,,https://www.rottentomatoes.com/search?search=Songs%20of%20Paradise%202025,2025-08-29,True
只是一陣一陣,2025,,,https://www.rottentomatoes.com/search?search=%E5%8F%AA%E6%98%AF%E4%B8%80%E9%99%A3%E4%B8%80%E9%99%A3%202025,2025-07-28,True
Somnium,2025,,,https://www.rottentomatoes.com/search?search=Somnium%202025,2025-09-08,True
